NU_ANO_CENSO,CO_UF,NO_MUNICIPIO,CO_IES,NO_CURSO,CO_CURSO,QT_VG_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_VG_REMANESC,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,SG_IES
2021,41.0,Curitiba,10349,Gestão Hospitalar,1003009,70.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,15.0,8.0,7.0,0.0,4.0,4.0,3.0,1.0,3.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,4.0,6.0,4.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,IPPEO
2021,41.0,Curitiba,13775,Gestão De Recursos Humanos,1136349,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,1.0,11.0,11.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,FAITEC
2021,41.0,Curitiba,14403,Administração,1100638,115.0,62.0,34.0,28.0,44.0,3.0,0.0,3.0,12.0,0.0,53.0,7.0,0.0,2.0,0.0,0.0,0.0,42.0,3.0,3.0,1.0,0.0,13.0,186.0,88.0,98.0,0.0,141.0,30.0,11.0,3.0,1.0,0.0,0.0,126.0,3.0,27.0,2.0,0.0,28.0,34.0,17.0,17.0,0.0,21.0,9.0,4.0,0.0,0.0,0.0,0.0,21.0,0.0,7.0,0.0,0.0,6.0,71.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Análise E Desenvolvimento De Sistemas,1204010,110.0,45.0,6.0,39.0,36.0,2.0,0.0,0.0,7.0,0.0,38.0,3.0,1.0,1.0,2.0,0.0,0.0,29.0,2.0,8.0,0.0,0.0,6.0,97.0,9.0,88.0,0.0,71.0,13.0,6.0,5.0,1.0,1.0,0.0,69.0,2.0,14.0,0.0,0.0,12.0,29.0,4.0,25.0,0.0,18.0,7.0,2.0,1.0,0.0,1.0,0.0,22.0,0.0,3.0,0.0,0.0,4.0,75.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Arquitetura E Urbanismo,1204002,6.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,86.0,49.0,37.0,0.0,51.0,22.0,6.0,3.0,3.0,1.0,0.0,63.0,2.0,15.0,2.0,0.0,4.0,20.0,12.0,8.0,0.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,4.0,1.0,0.0,1.0,17.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Ciências Biológicas,1322317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,9.0,7.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Ciências Biológicas,1365476,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,29.0,19.0,10.0,0.0,21.0,5.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0,7.0,0.0,0.0,0.0,13.0,9.0,4.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Ciências Contábeis,1203999,8.0,7.0,4.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,70.0,36.0,34.0,0.0,45.0,16.0,4.0,1.0,4.0,0.0,0.0,54.0,1.0,10.0,0.0,0.0,5.0,13.0,4.0,9.0,0.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,1.0,32.0,1.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Design De Interiores,1205736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Direito,1383196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Educação Física,1305044,111.0,39.0,13.0,26.0,25.0,3.0,0.0,3.0,8.0,0.0,33.0,4.0,1.0,1.0,0.0,0.0,0.0,25.0,4.0,5.0,0.0,0.0,5.0,143.0,37.0,106.0,0.0,107.0,19.0,12.0,3.0,1.0,1.0,0.0,90.0,9.0,24.0,5.0,1.0,14.0,39.0,10.0,29.0,0.0,23.0,9.0,5.0,0.0,1.0,1.0,0.0,27.0,1.0,6.0,1.0,1.0,3.0,73.0,1.0,0.0,CESUMAR
2021,41.0,Curitiba,14403,Enfermagem,1322318,116.0,55.0,49.0,6.0,37.0,2.0,0.0,4.0,12.0,0.0,30.0,6.0,7.0,10.0,2.0,0.0,0.0,25.0,4.0,11.0,1.0,0.0,14.0,133.0,120.0,13.0,0.0,73.0,21.0,14.0,16.0,7.0,2.0,0.0,88.0,4.0,22.0,4.0,0.0,15.0,44.0,41.0,3.0,0.0,19.0,9.0,7.0,5.0,3.0,1.0,0.0,32.0,1.0,7.0,0.0,0.0,4.0,37.0,1.0,0.0,CESUMAR
